timestamp,machine_id,temperature_C,vibration_mm_s,pressure_bar,rpm,current_A,status,alert
2024-01-01 08:00:00,MOTOR-01,72.3,1.2,4.5,1450,12.3,normal,none
2024-01-01 08:05:00,MOTOR-01,73.1,1.3,4.6,1452,12.4,normal,none
2024-01-01 08:10:00,MOTOR-01,74.5,1.8,4.7,1448,12.6,normal,none
2024-01-01 08:15:00,MOTOR-01,76.2,2.5,4.8,1445,13.1,warning,high_vibration
2024-01-01 08:20:00,MOTOR-01,78.9,3.8,4.9,1440,13.8,warning,high_vibration
2024-01-01 08:25:00,MOTOR-01,85.4,6.2,5.1,1430,15.2,critical,overheating
2024-01-01 08:30:00,MOTOR-01,91.2,8.5,5.3,1410,17.1,critical,overheating
2024-01-01 08:35:00,MOTOR-01,65.0,1.1,4.4,1455,12.1,normal,none
2024-01-01 09:00:00,PUMP-02,55.2,0.9,6.2,950,8.5,normal,none
2024-01-01 09:05:00,PUMP-02,55.8,1.0,6.3,948,8.6,normal,none
2024-01-01 09:10:00,PUMP-02,56.4,1.1,6.1,952,8.7,normal,none
2024-01-01 09:15:00,PUMP-02,58.1,1.4,5.8,940,9.0,warning,low_pressure
2024-01-01 09:20:00,PUMP-02,59.3,1.6,5.4,932,9.3,warning,low_pressure
2024-01-01 09:25:00,PUMP-02,61.0,2.1,4.9,920,9.8,critical,low_pressure
2024-01-01 09:30:00,PUMP-02,56.0,1.0,6.2,950,8.5,normal,none
2024-01-01 10:00:00,COMPRESSOR-03,88.5,2.1,8.5,2900,22.4,normal,none
2024-01-01 10:05:00,COMPRESSOR-03,89.2,2.3,8.6,2905,22.6,normal,none
2024-01-01 10:10:00,COMPRESSOR-03,90.1,2.8,8.8,2895,23.0,normal,none
2024-01-01 10:15:00,COMPRESSOR-03,93.4,4.2,9.1,2880,24.5,warning,high_temperature
2024-01-01 10:20:00,COMPRESSOR-03,97.8,5.9,9.4,2860,26.1,critical,overheating
2024-01-01 10:25:00,COMPRESSOR-03,103.2,8.1,9.8,2830,28.4,critical,overheating
2024-01-01 10:30:00,COMPRESSOR-03,87.0,2.0,8.4,2905,22.2,normal,none
2024-01-01 11:00:00,MOTOR-04,70.1,1.0,4.3,1460,11.9,normal,none
2024-01-01 11:05:00,MOTOR-04,70.8,1.1,4.4,1458,12.0,normal,none
2024-01-01 11:10:00,MOTOR-04,71.5,1.2,4.4,1457,12.1,normal,none
2024-01-01 11:15:00,MOTOR-04,72.0,1.3,4.5,1455,12.2,normal,none
2024-01-01 11:20:00,MOTOR-04,72.5,1.4,4.5,1454,12.3,normal,none
2024-01-01 12:00:00,PUMP-05,53.0,0.8,6.0,960,8.2,normal,none
2024-01-01 12:05:00,PUMP-05,53.4,0.9,6.1,958,8.3,normal,none
2024-01-01 12:10:00,PUMP-05,54.0,1.5,6.2,955,8.4,normal,none
2024-01-01 12:15:00,PUMP-05,60.2,4.5,6.5,930,11.2,critical,bearing_fault
2024-01-01 12:20:00,PUMP-05,65.8,7.2,6.8,910,13.5,critical,bearing_fault
2024-01-01 12:25:00,PUMP-05,54.1,0.9,6.1,957,8.3,normal,none
2024-01-02 08:00:00,MOTOR-01,71.5,1.1,4.4,1452,12.2,normal,none
2024-01-02 08:05:00,MOTOR-01,72.0,1.2,4.5,1451,12.3,normal,none
2024-01-02 08:10:00,MOTOR-01,79.3,3.9,4.9,1438,14.0,warning,high_vibration
2024-01-02 08:15:00,MOTOR-01,88.1,7.1,5.2,1420,16.5,critical,overheating
2024-01-02 08:20:00,MOTOR-01,65.5,1.2,4.4,1454,12.2,normal,none
2024-01-02 09:00:00,COMPRESSOR-03,87.9,2.0,8.4,2902,22.3,normal,none
2024-01-02 09:05:00,COMPRESSOR-03,88.5,2.2,8.5,2900,22.5,normal,none
2024-01-02 09:10:00,COMPRESSOR-03,95.2,5.1,9.2,2865,25.3,critical,overheating
2024-01-02 09:15:00,COMPRESSOR-03,86.8,1.9,8.3,2908,22.1,normal,none
